	reactome-id	name	species	wp-id
0	R-HSA-162582	Signal Transduction	Homo sapiens	
1	R-HSA-157118	Signaling by NOTCH	Homo sapiens	
2	R-HSA-1912422	Pre-NOTCH Expression and Processing	Homo sapiens	WP2786
3	R-HSA-1912420	Pre-NOTCH Processing in Golgi	Homo sapiens	WP3825
4	R-HSA-1912399	Pre-NOTCH Processing in the Endoplasmic Reticulum	Homo sapiens	
5	R-HSA-1912408	Pre-NOTCH Transcription and Translation	Homo sapiens	
6	R-HSA-1980150	Signaling by NOTCH4	Homo sapiens	WP2721
7	R-HSA-1980148	Signaling by NOTCH3	Homo sapiens	WP2722
8	R-HSA-1980145	Signaling by NOTCH2	Homo sapiens	WP2718
9	R-HSA-2197563	NOTCH2 intracellular domain regulates transcription	Homo sapiens	
10	R-HSA-2979096	NOTCH2 Activation and Transmission of Signal to the Nucleus	Homo sapiens	
11	R-HSA-1980143	Signaling by NOTCH1	Homo sapiens	WP2720
12	R-HSA-2122948	Activated NOTCH1 Transmits Signal to the Nucleus	Homo sapiens	
13	R-HSA-2122947	NOTCH1 Intracellular Domain Regulates Transcription	Homo sapiens	
14	R-HSA-8848021	Signaling by PTK6	Homo sapiens	WP3826
15	R-HSA-8849472	PTK6 Down-Regulation	Homo sapiens	
16	R-HSA-8849471	PTK6 Regulates RHO GTPases, RAS GTPase and MAP kinases	Homo sapiens	
17	R-HSA-8849469	PTK6 Regulates RTKs and Their Effectors AKT1 and DOK1	Homo sapiens	
18	R-HSA-8849470	PTK6 Regulates Cell Cycle	Homo sapiens	
19	R-HSA-8847993	ERBB2 Activates PTK6 Signaling	Homo sapiens	
20	R-HSA-8847993	ERBB2 Activates PTK6 Signaling	Homo sapiens	
21	R-HSA-8849473	PTK6 Expression	Homo sapiens	
22	R-HSA-8849468	PTK6 Regulates Proteins Involved in RNA Processing	Homo sapiens	
23	R-HSA-8857538	PTK6 promotes HIF1A stabilization	Homo sapiens	
24	R-HSA-8849474	PTK6 Activates STAT3	Homo sapiens	
25	R-HSA-1433557	Signaling by SCF-KIT	Homo sapiens	WP2713
26	R-HSA-1433559	Regulation of KIT signaling	Homo sapiens	
27	R-HSA-5673001	RAF/MAP kinase cascade	Homo sapiens	
28	R-HSA-5673001	RAF/MAP kinase cascade	Homo sapiens	
29	R-HSA-5673001	RAF/MAP kinase cascade	Homo sapiens	
30	R-HSA-5673001	RAF/MAP kinase cascade	Homo sapiens	
31	R-HSA-5673001	RAF/MAP kinase cascade	Homo sapiens	
32	R-HSA-5673001	RAF/MAP kinase cascade	Homo sapiens	
33	R-HSA-5673001	RAF/MAP kinase cascade	Homo sapiens	
34	R-HSA-5673001	RAF/MAP kinase cascade	Homo sapiens	
35	R-HSA-5673001	RAF/MAP kinase cascade	Homo sapiens	
36	R-HSA-5673001	RAF/MAP kinase cascade	Homo sapiens	
37	R-HSA-5673001	RAF/MAP kinase cascade	Homo sapiens	
38	R-HSA-5673001	RAF/MAP kinase cascade	Homo sapiens	
39	R-HSA-5673001	RAF/MAP kinase cascade	Homo sapiens	
40	R-HSA-5673001	RAF/MAP kinase cascade	Homo sapiens	
41	R-HSA-5673001	RAF/MAP kinase cascade	Homo sapiens	
42	R-HSA-5673001	RAF/MAP kinase cascade	Homo sapiens	
43	R-HSA-5673001	RAF/MAP kinase cascade	Homo sapiens	
44	R-HSA-5673001	RAF/MAP kinase cascade	Homo sapiens	
45	R-HSA-5673001	RAF/MAP kinase cascade	Homo sapiens	
46	R-HSA-5673001	RAF/MAP kinase cascade	Homo sapiens	
47	R-HSA-5673001	RAF/MAP kinase cascade	Homo sapiens	
48	R-HSA-5673001	RAF/MAP kinase cascade	Homo sapiens	
49	R-HSA-5658442	Regulation of RAS by GAPs	Homo sapiens	
50	R-HSA-5658442	Regulation of RAS by GAPs	Homo sapiens	
51	R-HSA-5658442	Regulation of RAS by GAPs	Homo sapiens	
52	R-HSA-5658442	Regulation of RAS by GAPs	Homo sapiens	
53	R-HSA-5658442	Regulation of RAS by GAPs	Homo sapiens	
54	R-HSA-5658442	Regulation of RAS by GAPs	Homo sapiens	
55	R-HSA-5658442	Regulation of RAS by GAPs	Homo sapiens	
56	R-HSA-5658442	Regulation of RAS by GAPs	Homo sapiens	
