	reactome-id	wp-id
0	R-HSA-162582	
1	R-HSA-157118	
2	R-HSA-1912422	WP2786
3	R-HSA-1912420	WP3825
4	R-HSA-1912399	
5	R-HSA-1912408	
6	R-HSA-1980150	WP2721
7	R-HSA-1980148	WP2722
8	R-HSA-1980145	WP2718
9	R-HSA-2197563	
10	R-HSA-2979096	
11	R-HSA-1980143	WP2720
12	R-HSA-2122948	
13	R-HSA-2122947	
14	R-HSA-8848021	WP3826
15	R-HSA-8849472	
16	R-HSA-8849471	
17	R-HSA-8849469	
18	R-HSA-8849470	
19	R-HSA-8847993	
20	R-HSA-8847993	
21	R-HSA-8849473	
22	R-HSA-8849468	
23	R-HSA-8857538	
24	R-HSA-8849474	
25	R-HSA-1433557	WP2713
26	R-HSA-1433559	
27	R-HSA-5673001	
28	R-HSA-5673001	
29	R-HSA-5673001	
30	R-HSA-5673001	
31	R-HSA-5673001	
32	R-HSA-5673001	
33	R-HSA-5673001	
34	R-HSA-5673001	
35	R-HSA-5673001	
36	R-HSA-5673001	
37	R-HSA-5673001	
38	R-HSA-5673001	
39	R-HSA-5673001	
40	R-HSA-5673001	
41	R-HSA-5673001	
42	R-HSA-5673001	
43	R-HSA-5673001	
44	R-HSA-5673001	
45	R-HSA-5673001	
46	R-HSA-5673001	
47	R-HSA-5673001	
48	R-HSA-5673001	
49	R-HSA-5658442	
50	R-HSA-5658442	
51	R-HSA-5658442	
52	R-HSA-5658442	
53	R-HSA-5658442	
54	R-HSA-5658442	
55	R-HSA-5658442	
56	R-HSA-5658442	
57	R-HSA-5658442	
58	R-HSA-5658442	
59	R-HSA-5658442	
60	R-HSA-5658442	
61	R-HSA-5658442	
62	R-HSA-5658442	
63	R-HSA-5658442	
64	R-HSA-5658442	
65	R-HSA-5658442	
66	R-HSA-5658442	
67	R-HSA-5658442	
68	R-HSA-5658442	
69	R-HSA-5658442	
70	R-HSA-5658442	
71	R-HSA-5674135	
72	R-HSA-5674135	
73	R-HSA-5674135	
74	R-HSA-5674135	
